2098	2060	2077	2031	2033	2088	10224	10087	
2109	2063	2003	2144	2053	2004	10175	10164	
2063	2099	2104	2070	2040	2025	10211	10219	
2119	2075	2080	2064	2135	2067	10180	10158	
2099	2083	2022	2039	2092	2071	10241	10154	
2085	2108	2013	2106	1986	2118	10285	10349	
2041	2108	2089	2035	2020	2063	10376	10157	
2044	2057	2165	2037	2038	2040	10154	10287	
2018	2085	2055	2035	2008	2070	10368	10257	
2137	2134	2006	2129	2058	2064	10241	10276	
1997	2106	2027	1985	2074	2055	10257	10186	
1991	2051	2111	2081	2094	2069	10122	10304	
2089	2129	2060	2118	1963	2082	10187	10136	
2083	2105	2041	2070	2077	2020	10281	10170	
2167	2071	2085	2005	1957	2002	10133	10262	
2084	2114	2128	2031	2043	2049	10290	10400	
2044	2020	2037	2096	2068	2049	10214	10245	
2088	2032	2053	1998	2027	2029	10190	10105	
2016	1990	2008	1973	2033	1978	10139	10000	
2061	2016	2071	1977	2045	2125	10196	10192	
2024	2082	2003	2021	2079	2159	10237	10257	
2039	1979	2032	1988	2085	2068	10117	10330	
1995	2001	2028	2063	2000	2046	10210	10207	
1997	2026	1973	1931	1990	2001	10181	10003	
2037	2069	2001	2022	2072	2009	10133	10124	
1959	1967	2056	2043	2054	2024	10211	9922	
2071	2044	2028	2040	2107	2108	10155	10211	
2062	2041	2118	2090	2105	2052	10274	10109	
2099	1946	2059	2024	2044	2015	9920	10031	
2057	2061	1930	2050	2040	2001	10050	10230	
2097	1950	2067	1991	1995	1969	10275	10032	
2142	1968	2022	2050	2056	2084	10080	9996	
2113	2003	2050	2026	2036	2009	10009	10083	
2067	1978	2080	1999	2030	2055	10276	10143	
2025	1967	1965	1997	1955	2058	9995	10209	
1993	1927	2031	1983	2029	1958	10079	9835	
2047	1999	1999	2005	2073	2044	9862	9874	
2020	1932	2006	1995	2043	1992	10282	9977	
2077	2005	1970	2061	2074	2045	10429	10122	
2089	2003	2004	2051	2053	2089	10231	10277	
2145	1915	2023	2016	2056	2044	10138	10176	
2079	1871	2056	2062	2085	2071	10065	10310	
2073	1928	1937	2050	2094	2029	9978	10173	
2136	2045	2026	2047	1965	2056	10212	10226	
2065	1963	2077	1905	1993	1988	10063	10370	
2106	1968	2035	2019	2112	2102	10190	10256	
2133	1954	2065	2010	2090	2008	10201	10246	
1988	1912	1969	2033	2159	2032	10193	10187	
2060	2015	2053	2093	2124	2089	10181	10324	
2090	2023	2098	2070	2001	2061	10262	10271	
2082	2046	1990	2019	1992	2096	10170	9947	
2005	2051	2078	1995	2122	2114	10340	10320	
2083	2032	2055	1982	2078	2024	10357	10292	
2110	2071	1967	2008	2025	2109	10048	10281	
2048	1953	2072	2016	2100	2035	10262	10521	
2123	1921	2062	2050	2052	2024	10458	10371	
2108	2020	2035	2038	2001	2106	10457	10183	
2204	2010	2149	2015	2025	2103	10453	10092	
2005	2018	2126	1939	2059	2060	10316	10138	
1994	2023	2030	2100	2110	2026	10379	10360	
2099	2016	2146	2085	2121	2065	10366	10225	
2117	2087	2088	1960	2065	2126	10327	10382	
2070	2023	2000	2094	2100	2105	10417	10204	
2143	2020	2009	2040	2064	2035	10253	10334	
2112	2109	2149	2003	2075	2053	10196	10284	
2097	2131	2118	2093	2057	2119	10322	10240	
2008	2048	2142	2072	2091	1993	10397	10276	
2105	2053	2063	2053	2000	2151	10287	10303	
2175	2015	2098	2090	2044	2065	10590	10469	
2072	2049	1996	2064	2093	2143	10298	10292	
2093	2061	2091	2055	2033	2088	10344	10321	
2034	2021	1998	2019	2090	2069	10589	10190	
1994	2081	2109	2085	2136	2157	10355	10301	
2083	2031	2149	2071	2078	2053	10480	10288	
2006	2028	1994	2068	2044	2011	10336	10298	
2096	2084	2118	2073	1952	2086	10124	10223	
2088	2157	2071	2061	2075	2074	10351	10373	
2037	2099	2035	2023	2054	2074	10404	10371	
2045	2056	2050	2051	2046	1989	10223	10226	
2114	2086	2024	2056	1983	1979	10224	10233	
1951	2017	1977	2038	2013	2066	10179	10311	
2039	2109	2037	2065	2047	2013	10157	10253	
2120	2042	2154	2107	2080	2103	10204	10346	
2022	2026	2148	2071	2103	2093	10370	10495	
2029	2127	2053	2092	2083	2054	10200	10225	
2088	2054	1958	2027	2127	2027	10277	10126	
1970	1990	2090	2089	1996	2009	10225	10046	
2065	2119	2013	1990	1999	2097	10462	10124	
2034	2167	2128	1985	2030	2000	10222	10068	
1989	2052	2073	1993	2006	2037	10426	10235	
1999	2120	2035	2054	1996	2028	10005	10016	
2013	2083	1963	2038	2002	1982	10165	9849	
2068	2061	2095	2048	2126	2045	10178	10060	
1992	2088	2020	2059	2012	2049	10139	10042	
2058	2111	2024	1994	2048	1947	10225	10016	
2075	2115	2065	2091	2076	1992	10111	10289	
1975	2096	2081	2064	1987	1959	10144	10122	
1956	2052	2008	2018	1993	1972	10211	9970	
2039	2070	1936	2133	1935	2058	10179	9910	
1986	2071	2133	2056	2032	2027	10305	9873	
2033	2113	2001	2034	2106	1972	9902	10176	
1962	2137	2119	2061	2012	1927	10233	10110	
2005	2014	2049	2118	2016	1929	10111	10152	
1978	2106	2113	2049	2061	1959	10324	10110	
1937	2105	1986	1987	2083	2073	10024	10119	
1988	2195	2018	2054	2086	2019	10091	10026	
2062	2154	2099	1975	1974	2019	10323	10018	
2026	2023	2050	2081	1991	2038	10186	10096	
2028	2087	2072	2062	1968	1967	10340	10101	
1965	2167	2051	2116	2088	1993	10164	10083	
2034	2098	2085	2016	2034	1982	10213	9862	
1976	2075	2055	2096	2115	2025	10058	9896	
2032	2117	2108	2040	2096	1970	10315	10070	
2086	2061	2145	2010	2134	2075	10122	10103	
2061	2164	2115	2058	2109	2046	10314	10218	
2009	2119	2096	2016	2121	2052	10236	10110	
1980	2139	1980	2090	2041	2022	10331	10150	
2017	2051	2110	1999	2060	2007	10154	10059	
2098	2088	2114	2032	2115	1929	10073	10189	
2038	2180	2119	2105	2068	2034	10273	10257	
2023	2085	2097	1985	2032	1990	10274	10179	
2074	2063	2015	1984	2105	2083	10136	9977	
2009	2148	1997	2070	2027	2003	10295	10188	
2068	2115	2085	2072	2082	2074	10134	10255	
2065	2156	2088	2141	2082	2097	10170	10252	
2017	2106	2089	2096	2124	1964	9948	10115	
2073	2094	2085	2129	1996	1955	10235	10141	
1964	2058	2085	2065	2043	2052	10090	10237	
2030	2073	2106	2071	2177	2037	10230	10445	
2072	2080	2045	2115	2037	2042	10250	10119	
58	66	61	57	54	65	285	307	
0	0	0	0	0	0	0	0	
