1758	1871	1844	1781	1932	1916	9465	
1763	1885	1881	1911	1970	1871	9353	
1693	1864	1782	1768	1951	1872	9510	
1905	1891	1869	1864	1911	2007	9695	
1885	1869	1899	1814	1938	1856	9725	
1788	1879	1908	1811	1895	1873	9588	
1820	1895	1832	1820	1937	2009	9716	
1821	1863	1935	1762	1938	1867	9537	
1766	1920	1844	1860	2009	1934	9419	
1873	1856	1844	1773	1938	1900	9698	
1883	1893	1900	1855	1988	1874	9700	
1953	1884	1919	1808	1911	1895	9678	
1820	1920	1852	1829	1981	1873	9402	
1765	1869	1831	1836	1987	1888	9636	
1845	1859	1793	1824	1870	1872	9483	
1850	1920	1872	1889	1933	1908	9474	
1756	1909	1793	1928	2014	1938	9646	
1830	1895	1824	1841	1949	1903	9341	
1784	1835	1797	1867	1930	1853	9312	
1797	1898	1782	1760	1909	1845	9435	
1802	1949	1865	1872	1970	1852	9698	
1842	1888	1916	1894	1921	1836	9616	
1879	1817	1842	1862	1980	1832	9637	
1735	1935	1889	1766	1878	1883	9602	
1832	1908	1899	1795	1885	1865	9371	
1764	1893	1850	1835	1927	1980	9557	
1818	1850	1836	1836	1979	1852	9510	
1815	1885	1862	1855	1997	1946	9624	
1836	1814	1894	1844	1945	1847	9624	
1783	1859	1859	1748	1912	1853	9751	
1768	1904	1745	1774	1953	1877	9408	
1794	1813	1870	1890	1975	1925	9414	
1746	1978	1830	1770	1959	1865	9563	
1718	1900	1908	1840	1868	1904	9604	
1809	1882	1922	1868	1971	1863	9499	
1756	1891	1821	1744	1901	1810	9586	
1725	1818	1747	1822	1897	1922	9270	
1794	1937	1847	1826	1897	1781	9533	
1757	1942	1902	1859	2006	1899	9500	
1827	1867	1848	1836	1926	1912	9317	
1844	1879	1805	1832	1862	1884	9534	
1821	1929	1899	1830	1942	1845	9449	
1815	1807	1845	1774	1974	1818	9445	
1722	1915	1860	1820	1926	1847	9717	
1810	1881	1839	1836	1970	1864	9393	
1827	1910	1879	1786	1950	1856	9421	
1775	1835	1813	1772	1912	1956	9539	
1798	1807	1883	1823	1885	1852	9655	
1798	1888	1907	1815	1843	1852	9715	
1735	1864	1869	1810	1874	1896	9425	
1788	1939	1853	1793	1932	1875	9673	
1859	1892	1833	1801	1846	1909	9403	
1855	1917	1821	1817	1925	1790	9519	
1855	1878	1849	1826	1894	1853	9498	
1838	1908	1905	1773	1937	1865	9384	
1792	2003	1830	1855	1882	1912	9486	
1779	1870	1845	1695	1924	1814	9487	
1731	1772	1864	1791	1917	1836	9446	
1802	1939	1788	1783	1877	1877	9575	
