2098	2060	
2109	2063	
2063	2099	
2119	2075	
2099	2083	
2085	2108	
2041	2108	
2044	2057	
2018	2085	
2137	2134	
1997	2106	
1991	2051	
2089	2129	
2083	2105	
2167	2071	
2084	2114	
2044	2020	
2088	2032	
2016	1990	
2061	2016	
2024	2082	
2039	1979	
1995	2001	
1997	2026	
2037	2069	
1959	1967	
2071	2044	
2062	2041	
2099	1946	
2057	2061	
2097	1950	
2142	1968	
2113	2003	
2067	1978	
2025	1967	
1993	1927	
2047	1999	
2020	1932	
2077	2005	
2089	2003	
2145	1915	
2079	1871	
2073	1928	
2136	2045	
2065	1963	
2106	1968	
2133	1954	
1988	1912	
2060	2015	
2090	2023	
2082	2046	
2005	2051	
2083	2032	
2110	2071	
2048	1953	
2123	1921	
2108	2020	
2204	2010	
2005	2018	
1994	2023	
2099	2016	
2117	2087	
2070	2023	
2143	2020	
2112	2109	
2097	2131	
2008	2048	
2105	2053	
2175	2015	
2072	2049	
2093	2061	
2034	2021	
1994	2081	
2083	2031	
2006	2028	
2096	2084	
2088	2157	
2037	2099	
2045	2056	
2114	2086	
1951	2017	
2039	2109	
2120	2042	
2022	2026	
2029	2127	
2088	2054	
1970	1990	
2065	2119	
2034	2167	
1989	2052	
1999	2120	
2013	2083	
2068	2061	
1992	2088	
2058	2111	
2075	2115	
1975	2096	
1956	2052	
2039	2070	
1986	2071	
2033	2113	
1962	2137	
2005	2014	
1978	2106	
1937	2105	
1988	2195	
2062	2154	
2026	2023	
2028	2087	
1965	2167	
2034	2098	
1976	2075	
2032	2117	
2086	2061	
2061	2164	
2009	2119	
1980	2139	
2017	2051	
2098	2088	
2038	2180	
2023	2085	
2074	2063	
2009	2148	
2068	2115	
2065	2156	
2017	2106	
2073	2094	
1964	2058	
2030	2073	
2072	2080	
58	66	
0	0	
