% Model:              E_field_model_symetry_allel.mph
% Version:            COMSOL 5.4.0.388
% Date:               Mar 5 2020, 20:47
% Dimension:          1
% Nodes:              50000
% Expressions:        2
% Description:        z-coordinate, Electric field, z component
% cln1x                   z (mm)                   Term4.Ez (V/m)
4.0E-5                    -1.999960000000001       -0.22210894553096816
1.2E-4                    -1.9998800000000008      -0.2221046305015923
2.0E-4                    -1.9997999999999991      -0.2221003077931134
2.8E-4                    -1.9997199999999995      -0.22209597740553153
3.6E-4                    -1.9996400000000005      -0.22209163933884662
4.4E-4                    -1.9995600000000013      -0.22208729359305862
5.2E-4                    -1.9994800000000006      -0.2220829401681675
6.0E-4                    -1.999400000000001       -0.22207857906417336
6.8E-4                    -1.9993200000000015      -0.22207421028107616
7.6E-4                    -1.9992399999999986      -0.22206983381887568
8.4E-4                    -1.9991599999999994      -0.22206544967757233
9.2E-4                    -1.9990799999999986      -0.2220610578571659
0.001                     -1.9990000000000003      -0.22205665835765656
0.00108                   -1.9989200000000005      -0.22205225117904392
0.00116                   -1.99884                 -0.2220478363213283
0.00124                   -1.998760000000001       -0.2220434137845097
0.00132                   -1.99868                 -0.22203898356858792
0.0014                    -1.9986000000000015      -0.2220345456735632
0.00148                   -1.9985200000000005      -0.22203010009943525
0.00156                   -1.9984399999999998      -0.22202564684620424
0.00164                   -1.998359999999999       -0.22202118591387018
0.00172                   -1.9982800000000007      -0.22201671730243322
0.0018                    -1.998200000000001       -0.22201224101189315
0.00188                   -1.99812                 -0.22200775704224984
0.00196                   -1.99804                 -0.2220032653935036
0.00204                   -1.99796                 -0.2219987660656543
0.00212                   -1.9978799999999997      -0.2219942590587019
0.0022                    -1.9977999999999996      -0.2219897443726464
0.00228                   -1.9977199999999993      -0.22198522200748783
0.00236                   -1.9976399999999994      -0.22198069196322628
0.00244                   -1.9975600000000007      -0.22197615423986175
0.00252                   -1.99748                 -0.22197160883739397
0.0026                    -1.997399999999999       -0.2219670557558231
0.00268                   -1.9973199999999987      -0.22196249499514925
0.00276                   -1.9972400000000008      -0.22195792655537247
0.00284                   -1.9971600000000005      -0.2219533504364925
0.00292                   -1.9970800000000009      -0.22194876663850946
0.003                     -1.9969999999999997      -0.22194417516142328
0.00308                   -1.99692                 -0.22193957600523415
0.00316                   -1.9968399999999997      -0.2219349691699419
0.00324                   -1.9967599999999999      -0.2219303546555466
0.00332                   -1.9966800000000002      -0.22192573246204828
0.0034                    -1.9966000000000004      -0.2219211025894468
0.00348                   -1.9965200000000003      -0.22191646503774232
0.00356                   -1.996439999999999       -0.2219118198069347
0.00364                   -1.9963600000000004      -0.2219071668970242
0.00372                   -1.99628                 -0.2219025063080105
0.0038                    -1.9962000000000009      -0.22189783803989377
0.00388                   -1.9961200000000001      -0.2218931620926739
0.00396                   -1.9960399999999998      -0.221888478466351
0.00404                   -1.9959600000000002      -0.22188378716092508
0.00412                   -1.9958799999999999      -0.22187908817639607
0.0042                    -1.995799999999999       -0.22187438151276392
0.00428                   -1.99572                 -0.22186966717002887
0.00436                   -1.9956400000000003      -0.22186494514819063
0.00444                   -1.99556                 -0.22186021544724935
0.00452                   -1.9954800000000004      -0.22185547806720507
0.0046                    -1.9954000000000005      -0.2218507330080577
0.00468                   -1.9953199999999993      -0.22184598026980712
0.00476                   -1.995240000000001       -0.22184121985245372
0.00484                   -1.995160000000001       -0.2218364517559971
0.00492                   -1.9950799999999997      -0.22183167598043738
0.005                     -1.9950000000000003      -0.22182689252577464
0.00508                   -1.9949200000000007      -0.22182210139200892
0.00516                   -1.9948399999999995      -0.22181730257913998
0.00524                   -1.9947600000000003      -0.22181249608716813
0.00532                   -1.9946799999999996      -0.22180768191609315
0.0054                    -1.9945999999999995      -0.221802860065915
0.00548                   -1.9945200000000005      -0.221798030536634
0.00556                   -1.99444                 -0.22179319332824982
0.00564                   -1.9943600000000001      -0.2217883484407626
0.00572                   -1.9942800000000003      -0.22178349587417226
0.0058                    -1.9941999999999998      -0.22177863562847888
0.00588                   -1.9941199999999994      -0.22177376770368243
0.00596                   -1.9940400000000003      -0.22176889209978295
0.00604                   -1.9939600000000008      -0.2217640088167804
0.00612                   -1.9938799999999999      -0.22175911785467478
0.0062                    -1.9938                  -0.22175421921346605
0.00628                   -1.99372                 -0.22174931289315436
0.00636                   -1.993640000000001       -0.2217443988937396
0.00644                   -1.9935600000000002      -0.22173947721522158
0.00652                   -1.9934800000000006      -0.2217345478576007
0.0066                    -1.9933999999999998      -0.22172961082087664
0.00668                   -1.9933199999999998      -0.22172466610504957
0.00676                   -1.9932400000000008      -0.22171971371011945
0.00684                   -1.9931599999999998      -0.22171475363608623
0.00692                   -1.9930799999999995      -0.2217097858829499
0.007                     -1.9930000000000003      -0.2217048104507106
0.00708                   -1.9929199999999987      -0.2216998273393681
0.00716                   -1.9928400000000017      -0.2216948365489228
0.00724                   -1.9927599999999996      -0.22168983807937415
0.00732                   -1.9926799999999993      -0.22168483193072253
0.0074                    -1.9925999999999997      -0.2216798181029679
0.00748                   -1.9925199999999998      -0.22167479659611017
0.00756                   -1.9924399999999993      -0.22166976741014932
0.00764                   -1.99236                 -0.2216647305450855
0.00772                   -1.9922799999999994      -0.2216596860009186
0.0078                    -1.9922                  -0.22165463377764863
0.00788                   -1.99212                 -0.2216495738752756
0.00796                   -1.99204                 -0.22164450629379945
0.00804                   -1.9919600000000002      -0.22163943103322026
0.00812                   -1.99188                 -0.22163434809353805
0.0082                    -1.9918000000000007      -0.22162925747475276
0.00828                   -1.9917199999999997      -0.22162415917686434
0.00836                   -1.9916400000000003      -0.22161905319987293
0.00844                   -1.9915600000000002      -0.22161393954377845
0.00852                   -1.9914799999999995      -0.22160881820858083
0.0086                    -1.9913999999999998      -0.22160368919428017
0.00868                   -1.9913200000000009      -0.22159855250087654
0.00876                   -1.9912400000000001      -0.22159340812836972
0.00884                   -1.99116                 -0.22158825607675992
0.00892                   -1.9910800000000002      -0.221583096346047
0.009                     -1.991                   -0.22157792893623107
0.00908                   -1.9909200000000002      -0.22157275384731204
0.00916                   -1.9908399999999997      -0.22156757107928995
0.00924                   -1.9907600000000008      -0.2215623806321648
0.00932                   -1.9906799999999998      -0.22155718250593656
0.0094                    -1.9906                  -0.2215519767006053
0.00948                   -1.9905200000000003      -0.22154676321617098
0.00956                   -1.9904400000000004      -0.22154154205263354
0.00964                   -1.9903600000000001      -0.22153631320999304
0.00972                   -1.99028                 -0.22153107668824953
0.0098                    -1.9901999999999993      -0.22152583248740287
0.00988                   -1.9901199999999992      -0.22152058060745322
0.00996                   -1.9900400000000007      -0.22151532104840058
0.01004                   -1.9899600000000006      -0.2215100538102448
0.01012                   -1.9898800000000012      -0.22150477889298598
0.0102                    -1.9898000000000002      -0.22149949629662394
0.01028                   -1.9897199999999995      -0.2214942060211589
0.01036                   -1.98964                 -0.22148890806659086
0.01044                   -1.98956                 -0.22148360243291976
0.01052                   -1.9894800000000006      -0.2214782891201456
0.0106                    -1.9893999999999996      -0.22147296812826833
0.01068                   -1.9893200000000006      -0.22146763945728803
0.01076                   -1.9892399999999997      -0.22146230310720458
0.01084                   -1.9891600000000007      -0.2214569590780182
0.01092                   -1.9890799999999995      -0.22145160736972863
0.011                     -1.9889999999999999      -0.22144624798233603
0.01108                   -1.9889199999999996      -0.22144088091584038
0.01116                   -1.9888400000000013      -0.22143550617024182
0.01124                   -1.9887600000000005      -0.22143012374554003
0.01132                   -1.9886800000000004      -0.22142473364173515
0.0114                    -1.9886000000000006      -0.22141933585882728
0.01148                   -1.9885200000000005      -0.2214139303968163
0.01156                   -1.9884399999999998      -0.2214085172557022
0.01164                   -1.9883600000000001      -0.22140309643548517
0.01172                   -1.9882800000000003      -0.22139766793616503
0.0118                    -1.9881999999999995      -0.2213922317577417
0.01188                   -1.9881199999999994      -0.22138678790021546
0.01196                   -1.98804                 -0.22138133636358615
0.01204                   -1.987959999999999       -0.22137587714785367
0.01212                   -1.9878799999999996      -0.22137041025301823
0.0122                    -1.9878000000000005      -0.22136493567907972
0.01228                   -1.9877199999999997      -0.22135945342603805
0.01236                   -1.98764                 -0.22135396349389339
0.01244                   -1.9875600000000002      -0.22134846588264567
0.01252                   -1.9874800000000001      -0.22134296059229486
0.0126                    -1.9874000000000007      -0.22133744762284102
0.01268                   -1.9873200000000004      -0.22133192697428405
0.01276                   -1.9872399999999995      -0.22132639864662398
0.01284                   -1.9871600000000005      -0.22132086263986098
0.01292                   -1.98708                 -0.22131531895399487
0.013                     -1.987                   -0.22130976758902565
0.01308                   -1.98692                 -0.2213042085449534
0.01316                   -1.9868400000000002      -0.22129864182177808
0.01324                   -1.98676                 -0.2212930674194997
0.01332                   -1.9866800000000007      -0.2212874853381183
0.0134                    -1.9865999999999995      -0.22128189557763367
0.01348                   -1.9865199999999994      -0.22127629813804606
0.01356                   -1.98644                 -0.22127069301935548
0.01364                   -1.98636                 -0.22126508022156177
0.01372                   -1.9862799999999996      -0.221259459744665
0.0138                    -1.9862                  -0.22125383158866518
0.01388                   -1.9861199999999997      -0.22124819575356225
0.01396                   -1.98604                 -0.2212425522393563
0.01404                   -1.9859600000000002      -0.22123690104604726
0.01412                   -1.9858799999999999      -0.22123124217363516
0.0142                    -1.9858000000000007      -0.22122557562211997
0.01428                   -1.9857199999999995      -0.2212199013915017
0.01436                   -1.9856399999999994      -0.22121421948178047
0.01444                   -1.98556                 -0.2212085298929561
0.01452                   -1.9854800000000004      -0.2212028326250287
0.0146                    -1.9853999999999996      -0.22119712767799818
0.01468                   -1.9853200000000004      -0.22119141505186468
0.01476                   -1.9852399999999988      -0.22118569474662797
0.01484                   -1.9851599999999996      -0.22117996676228835
0.01492                   -1.985080000000001       -0.22117423109884568
0.015                     -1.985000000000001       -0.22116848775629983
0.01508                   -1.9849200000000002      -0.22116273673465092
0.01516                   -1.98484                 -0.22115697803389894
0.01524                   -1.9847599999999994      -0.2211512116540439
0.01532                   -1.98468                 -0.2211454375950859
0.0154                    -1.9846                  -0.22113965585702475
0.01548                   -1.98452                 -0.22113386643986058
0.01556                   -1.9844399999999995      -0.22112806934359328
0.01564                   -1.9843599999999997      -0.22112226456822293
0.01572                   -1.9842799999999998      -0.22111645211374953
0.0158                    -1.9842000000000002      -0.22111063198017317
0.01588                   -1.9841200000000008      -0.22110480416749365
0.01596                   -1.9840400000000007      -0.22109896867571108
0.01604                   -1.983959999999999       -0.2210931255048253
0.01612                   -1.9838799999999999      -0.22108727465483663
0.0162                    -1.9838                  -0.22108141612574483
0.01628                   -1.9837199999999995      -0.22107554991754996
0.01636                   -1.98364                 -0.22106967603025213
0.01644                   -1.9835600000000004      -0.2210637944638512
0.01652                   -1.9834800000000006      -0.22105790521834714
0.0166                    -1.9834000000000003      -0.22105200829373994
0.01668                   -1.9833199999999989      -0.2210461036900297
0.01676                   -1.98324                 -0.22104019140721656
0.01684                   -1.9831600000000003      -0.2210342714453003
0.01692                   -1.98308                 -0.22102834380428088
0.017                     -1.9829999999999994      -0.22102240848415844
0.01708                   -1.98292                 -0.22101646548493298
0.01716                   -1.9828399999999993      -0.22101051480660436
0.01724                   -1.98276                 -0.2210045564491728
0.01732                   -1.9826799999999998      -0.22099859041263809
0.0174                    -1.9825999999999984      -0.2209926166970002
0.01748                   -1.9825199999999998      -0.22098663530225954
0.01756                   -1.9824399999999984      -0.22098064622841557
0.01764                   -1.9823600000000008      -0.22097464947546877
0.01772                   -1.9822800000000003      -0.2209686450434187
0.0178                    -1.9822000000000004      -0.22096263293226565
0.01788                   -1.9821199999999999      -0.22095661314200948
0.01796                   -1.9820399999999996      -0.22095058567265025
0.01804                   -1.9819599999999993      -0.22094455052418793
0.01812                   -1.98188                 -0.2209385076966227
0.0182                    -1.9818000000000007      -0.2209324571899543
0.01828                   -1.981720000000001       -0.22092639900418287
0.01836                   -1.9816400000000012      -0.22092033313930837
0.01844                   -1.9815599999999993      -0.22091425959533062
0.01852                   -1.98148                 -0.22090817837225002
0.0186                    -1.9814000000000003      -0.22090208947006634
0.01868                   -1.981319999999999       -0.22089599288877945
0.01876                   -1.9812399999999997      -0.22088988862838965
0.01884                   -1.98116                 -0.22088377668889675
0.01892                   -1.9810800000000006      -0.2208776570703008
0.019                     -1.981                   -0.22087152977260177
0.01908                   -1.9809200000000007      -0.22086539479579964
0.01916                   -1.9808399999999988      -0.22085925213989432
0.01924                   -1.9807600000000003      -0.2208531018048862
0.01932                   -1.9806799999999982      -0.22084694379077477
0.0194                    -1.9805999999999981      -0.22084077809756036
0.01948                   -1.9805199999999994      -0.22083460472524305
0.01956                   -1.9804400000000004      -0.2208284236738226
0.01964                   -1.9803600000000008      -0.2208222349432991
0.01972                   -1.9802799999999987      -0.2208160385336723
0.0198                    -1.9801999999999997      -0.22080983444494268
0.01988                   -1.98012                 -0.2208036226771099
0.01996                   -1.9800400000000007      -0.22079740323017413
0.02004                   -1.9799599999999993      -0.22079117610413518
0.02012                   -1.9798800000000012      -0.2207849412989934
0.0202                    -1.9797999999999993      -0.2207786988147482
0.02028                   -1.97972                 -0.22077244865140017
0.02036                   -1.9796400000000003      -0.22076619080894905
0.02044                   -1.979559999999999       -0.22075992528739474
0.02052                   -1.9794800000000006      -0.22075365208673758
0.0206                    -1.9794                  -0.22074737120697724
0.02068                   -1.9793199999999993      -0.22074108264811373
0.02076                   -1.9792399999999997      -0.22073478641014735
0.02084                   -1.9791600000000011      -0.22072848249307786
0.02092                   -1.9790800000000002      -0.22072217089690516
0.021                     -1.9790000000000003      -0.22071585162162952
0.02108                   -1.9789199999999996      -0.22070952466725077
0.02116                   -1.9788399999999982      -0.2207031900337689
0.02124                   -1.9787599999999996      -0.2206968477211841
0.02132                   -1.9786799999999996      -0.2206904977294962
0.0214                    -1.9785999999999988      -0.22068414005870512
0.02148                   -1.9785199999999992      -0.22067777470881114
0.02156                   -1.978440000000001       -0.22067140167981414
0.02164                   -1.9783600000000001      -0.22066502097171384
0.02172                   -1.9782799999999998      -0.22065863258451057
0.0218                    -1.9782000000000006      -0.22065223651820434
0.02188                   -1.9781200000000012      -0.220645832772795
0.02196                   -1.9780399999999996      -0.2206394213482825
0.02204                   -1.977959999999999       -0.22063300224466692
0.02212                   -1.9778799999999992      -0.2206265754619483
0.0222                    -1.9777999999999991      -0.22062014100012672
0.02228                   -1.9777200000000006      -0.2206136988592021
0.02236                   -1.97764                 -0.22060724903917434
0.02244                   -1.9775599999999998      -0.22060079154004347
0.02252                   -1.9774800000000001      -0.2205943263618096
0.0226                    -1.9774000000000007      -0.22058785350447263
0.02268                   -1.9773199999999995      -0.22058137296803254
0.02276                   -1.9772400000000008      -0.2205748847524896
0.02284                   -1.9771599999999991      -0.22056838885784327
0.02292                   -1.97708                 -0.22056188528409415
0.023                     -1.9769999999999996      -0.2205553740312418
0.02308                   -1.97692                 -0.2205488550992865
0.02316                   -1.9768400000000006      -0.22054232848822813
0.02324                   -1.976760000000001       -0.22053579419806668
0.02332                   -1.9766800000000002      -0.2205292522288021
0.0234                    -1.9765999999999995      -0.2205227025804344
0.02348                   -1.9765199999999998      -0.2205161452529638
0.02356                   -1.97644                 -0.22050958024639006
0.02364                   -1.976359999999999       -0.22050300756071317
0.02372                   -1.9762800000000005      -0.22049642719593343
0.0238                    -1.9761999999999986      -0.22048983915205034
0.02388                   -1.9761199999999988      -0.2204832434290644
0.02396                   -1.9760400000000005      -0.22047664002697545
0.02404                   -1.9759600000000015      -0.2204700289457834
0.02412                   -1.9758800000000005      -0.22046341018548815
0.0242                    -1.9758000000000007      -0.22045678374608987
0.02428                   -1.97572                 -0.22045014962758852
0.02436                   -1.9756400000000003      -0.22044350782998418
0.02444                   -1.9755600000000004      -0.2204368583532767
0.02452                   -1.9754800000000008      -0.22043020119746629
0.0246                    -1.9753999999999996      -0.22042353636255257
0.02468                   -1.9753200000000004      -0.22041686384853598
0.02476                   -1.9752400000000006      -0.22041018365541626
0.02484                   -1.9751599999999996      -0.22040349578319346
0.02492                   -1.9750799999999997      -0.22039680023186764
0.025                     -1.975                   -0.22039009700143877
0.02508                   -1.9749199999999998      -0.22038338609190683
0.02516                   -1.9748400000000004      -0.22037666750327178
0.02524                   -1.9747599999999994      -0.2203699412355336
0.02532                   -1.9746799999999995      -0.22036320728869246
0.0254                    -1.974599999999999       -0.2203564656627482
0.02548                   -1.9745200000000005      -0.220349716357701
0.02556                   -1.9744400000000009      -0.22034295937355075
0.02564                   -1.9743600000000006      -0.22033619471029728
0.02572                   -1.9742800000000014      -0.22032942236794084
0.0258                    -1.9741999999999997      -0.22032264234648113
0.02588                   -1.9741199999999999      -0.22031585464591852
0.02596                   -1.9740400000000007      -0.220309059266253
0.02604                   -1.97396                 -0.22030225620748414
0.02612                   -1.9738800000000003      -0.22029544546961236
0.0262                    -1.9738000000000009      -0.22028862705263758
0.02628                   -1.97372                 -0.22028180095655953
0.02636                   -1.9736400000000005      -0.22027496718137857
0.02644                   -1.9735600000000009      -0.22026812572709456
0.02652                   -1.9734800000000006      -0.22026127659370737
0.0266                    -1.9734000000000003      -0.22025441978121718
0.02668                   -1.9733199999999984      -0.22024755528962375
0.02676                   -1.9732400000000003      -0.22024068311892755
0.02684                   -1.9731600000000007      -0.22023380326912825
0.02692                   -1.9730800000000008      -0.22022691574022576
0.027                     -1.972999999999999       -0.22022002053222012
0.02708                   -1.9729199999999987      -0.2202131176451115
0.02716                   -1.97284                 -0.22020620707889996
0.02724                   -1.9727599999999987      -0.22019928883358514
0.02732                   -1.97268                 -0.2201923629091675
0.0274                    -1.972600000000001       -0.22018542930564672
0.02748                   -1.9725200000000007      -0.2201784880230228
0.02756                   -1.9724400000000006      -0.22017153906129583
0.02764                   -1.9723600000000008      -0.2201645824204658
0.02772                   -1.9722800000000011      -0.22015761810053275
0.0278                    -1.9722                  -0.22015064610149646
0.02788                   -1.9721200000000003      -0.22014366642335725
0.02796                   -1.972040000000001       -0.22013667906611503
0.02804                   -1.97196                 -0.22012968402976957
0.02812                   -1.9718799999999996      -0.22012268131432114
0.0282                    -1.9718000000000002      -0.22011567091976966
0.02828                   -1.9717200000000006      -0.2201086528461152
0.02836                   -1.9716400000000003      -0.22010162709335757
0.02844                   -1.9715599999999989      -0.22009459366149672
0.02852                   -1.9714800000000003      -0.22008755255053306
0.0286                    -1.971399999999999       -0.22008050376046615
0.02868                   -1.9713200000000008      -0.22007344729129646
0.02876                   -1.9712400000000008      -0.22006638314302351
0.02884                   -1.9711600000000014      -0.22005931131564754
0.02892                   -1.9710800000000002      -0.2200522318091683
0.029                     -1.971                   -0.22004514462358618
0.02908                   -1.9709200000000002      -0.22003804975890107
0.02916                   -1.9708400000000006      -0.2200309472151128
0.02924                   -1.9707599999999994      -0.22002383699222136
0.02932                   -1.9706799999999998      -0.22001671909022702
0.0294                    -1.9706000000000004      -0.2200095935091296
0.02948                   -1.970519999999999       -0.2200024602489289
0.02956                   -1.97044                 -0.2199953193096254
0.02964                   -1.9703600000000003      -0.21998817069121884
0.02972                   -1.97028                 -0.2199810143937091
0.0298                    -1.9702000000000002      -0.21997385041709636
0.02988                   -1.970120000000001       -0.21996667876138054
0.02996                   -1.9700400000000002      -0.21995949942656157
0.03004                   -1.9699599999999997      -0.2199523124126395
