#PicoHarp 300  Histogram Data			10.03.2020 16:12:11
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	
#memory block no.
0	1	2	3	4	5	6	
#ns/channel
0,2560	0,2560	0,2560	0,2560	0,2560	0,2560	0,2560	
#counts
5891	6565	6826	7030	6872	7031	7067	
6106	6633	6786	7062	6871	6999	7357	
6048	6560	6884	7167	6870	7134	7392	
6123	6707	7006	7091	6792	6963	7269	
6197	6721	7081	7316	6870	7183	7451	
6134	6783	7164	7275	7019	7085	7200	
6352	6840	7218	7112	7100	7092	7289	
6317	7127	7111	7306	7077	7224	7401	
6453	7024	7363	7447	7026	7167	7396	
6392	7067	7200	7460	7247	7253	7443	
6577	7181	7461	7438	7008	7413	7479	
6636	7159	7403	7459	7283	7293	7442	
6682	7159	7332	7641	7274	7078	7578	
6713	7198	7577	7524	7325	7259	7425	
6651	7233	7621	7615	7121	7302	7523	
6764	7345	7535	7741	7478	7267	7574	
7026	7455	7642	7669	7257	7402	7609	
6941	7598	7728	7785	7431	7355	7610	
6925	7475	7730	7863	7420	7444	7712	
7071	7648	7911	7806	7387	7420	7704	
7027	7590	7752	7676	7406	7451	7530	
7107	7689	7740	7738	7463	7417	7677	
7180	7847	7844	7923	7441	7372	7472	
7113	7662	7888	7849	7539	7477	7674	
7276	8073	7982	8084	7549	7560	7706	
7471	7883	7890	8013	7464	7662	7797	
7260	8115	8165	8132	7547	7596	7609	
7335	8003	8207	8109	7446	7518	7611	
7486	8039	8083	8097	7616	7528	7738	
7508	8086	8099	8132	7537	7692	7861	
7447	8096	8223	8132	7666	7513	7755	
7590	8161	8224	8149	7732	7611	7774	
7596	8167	8344	8082	7633	7512	7831	
7613	8260	8318	8260	7545	7455	7762	
7647	8285	8181	8155	7660	7677	7716	
7606	8272	8395	8310	7930	7535	7803	
7855	8433	8594	8323	7819	7566	7884	
7772	8363	8373	8192	7762	7716	7925	
7703	8360	8268	8312	7759	7771	7810	
7840	8499	8362	8246	7700	7733	7577	
7800	8412	8428	8343	7713	7795	7844	
7763	8338	8504	8266	7784	7561	7650	
7825	8617	8452	8344	7657	7727	7688	
7840	8515	8337	8442	7812	7732	7667	
7516	8507	8506	8307	7801	7753	7906	
7793	8342	8563	8477	7728	7535	7740	
7663	8370	8448	8403	7732	7654	7793	
7708	8290	8452	8254	7679	7775	7682	
7767	8552	8569	8132	7650	7642	7784	
7792	8283	8347	8161	7744	7732	7777	
7858	8458	8405	8221	7391	7624	7713	
7645	8387	8449	8110	7576	7723	8034	
7673	8358	8460	8207	7676	7504	7935	
7653	8254	8255	8153	7588	7590	7781	
7605	8314	8298	8038	7553	7621	7767	
7337	8251	8204	8184	7633	7750	7661	
7559	8156	8284	7940	7733	7532	7570	
7337	8157	8102	8072	7337	7570	7576	
7436	8016	8057	7980	7518	7558	7710	
7279	8082	8160	8077	7470	7529	7707	
7375	7918	8118	8111	7379	7490	7593	
7365	7962	7917	7918	7450	7568	7686	
7439	7807	7910	7864	7572	7503	7591	
7059	7637	7895	7954	7411	7320	7395	
7080	7593	7661	7849	7293	7374	7401	
7138	7511	7703	7699	7200	7458	7513	
6942	7564	7737	7869	7364	7231	7558	
7000	7437	7661	7651	7462	7444	7579	
6938	7283	7497	7692	7295	7229	7551	
6862	7318	7523	7493	7265	7227	7437	
6844	7299	7476	7572	7305	7352	7526	
6826	7182	7249	7537	7093	7340	7443	
6412	7028	7360	7358	7139	7222	7485	
6391	7064	7123	7319	7019	7138	7332	
6409	6915	7094	7239	6951	7233	7399	
6308	6808	7134	7186	6873	7081	7489	
6114	6719	7207	7104	6975	7102	7233	
6307	6685	6904	7259	7054	6911	7266	
6256	6594	6877	7147	6834	6915	7411	
5980	6458	6970	7095	6870	6902	7264	
5940	6587	6916	7061	6847	6973	7222	
5799	6440	6865	7105	6769	6844	7290	
5998	6457	6803	6982	6918	6950	7184	
5850	6272	6824	6945	6742	6849	7107	
5889	6207	6501	6871	6767	6915	7227	
5706	6101	6407	6926	6694	6806	7218	
5823	6128	6561	6858	6764	6893	6987	
5685	6087	6558	6836	6673	6979	7333	
5520	5991	6442	6731	6696	7006	7226	
5627	5901	6349	6684	6564	6846	7149	
5577	5956	6333	6604	6769	6981	7135	
5523	6078	6311	6589	6724	6661	7015	
5523	5850	6213	6674	6701	6808	7050	
5395	5863	6236	6582	6566	6852	7045	
5314	5839	6122	6637	6500	6694	7163	
5298	5808	6244	6596	6581	6743	7082	
5369	5812	6110	6539	6429	6755	6928	
5369	5858	6213	6369	6688	6674	6945	
5414	5770	6166	6383	6532	6727	7157	
5332	5752	6253	6642	6469	6714	6970	
5223	5704	6238	6544	6364	6716	7040	
5345	5753	6273	6471	6495	6645	6993	
5135	5693	6066	6536	6275	6826	7054	
5393	5743	6193	6504	6549	6734	7088	
5205	5637	6310	6499	6396	6684	7106	
5176	5800	5949	6596	6542	6901	7027	
5260	5901	6187	6601	6559	6621	6975	
5209	5878	6299	6550	6551	6684	7002	
5311	5761	6166	6530	6590	6756	6926	
5415	5756	6183	6562	6419	6584	7128	
5344	5949	6307	6515	6513	6811	6962	
5291	5766	6194	6662	6546	6855	7105	
5453	5895	6403	6536	6501	6819	7061	
5499	5944	6173	6609	6601	6664	7128	
5362	5928	6471	6517	6476	6754	7094	
5344	6133	6357	6486	6586	6790	7046	
5465	5933	6483	6596	6483	6702	7092	
5387	6106	6371	6678	6596	6745	7002	
5550	5976	6288	6594	6583	6784	7009	
5547	6004	6368	6768	6547	6841	7210	
5651	6251	6401	6784	6510	6957	7102	
5686	6215	6343	6887	6725	6804	7088	
5674	6396	6570	6918	6703	6996	7302	
5545	6242	6565	6748	6710	6991	7393	
5705	6175	6523	6917	6774	6845	7275	
5794	6284	6713	6791	6699	6830	7097	
5759	6333	6699	6936	6769	6777	7146	
5918	6300	6649	6951	6677	6915	7243	
6084	6583	6809	6994	6881	6937	7209	
6100	6539	6965	6887	6958	6956	7266	
471	486	500	450	485	544	504	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
